call_type,companyName,fintrend,id,price,quality,technicals,valuation,value
,Prism Mills,Does not qualify,1002518,,Does not qualify,Does not qualify,,
,Partap Rajasthan Special Steels Ltd.,Does not qualify,282261,,Does not qualify,Does not qualify,,
strongsellbg_arrow,Planters Polysack Ltd,Flat,516220,144.90,Below Average,Does not qualify,Does not qualify,20
,Piyush Steels Ltd.,Does not qualify,147923,,Does not qualify,Does not qualify,,
,Parker Agrochem Exports Ltd,Flat,485682,8.69,Does not qualify,Mildly Bullish,Does not qualify,
,Pee Cee Cosma Sope Ltd,Negative,978790,128.80,Does not qualify,Bearish,Does not qualify,
,Panchvati Holiday Resort,Does not qualify,1002015,,Does not qualify,Does not qualify,,
,Pyramid Saimira Theatre Ltd(Merged),Does not qualify,772371,,Does not qualify,Mildly Bearish,Does not qualify,
,Patel Integrated Logistics Ltd Partly Paidup,Does not qualify,1003574,4.43,Does not qualify,Sideways,Does not qualify,
holdbg_arrow,Bharti Airtel Ltd.,Positive,468567,715.50,Below Average,Bullish,Attractive,57
strongsellbg_arrow,Pentamedia Graphics Ltd,Flat,992557,,Below Average,Does not qualify,Does not qualify,20
,Polaris Consulting & Services Ltd,Very Positive,766127,,Below Average,Does not qualify,Does not qualify,
,Pentagon Global Solutions Ltd,Does not qualify,924478,,Does not qualify,Does not qualify,Does not qualify,
sellbg_arrow,Bodal Chemicals Ltd,Positive,478204,105.55,Average,Mildly Bearish,Attractive,48
,Premier Vinyl Flooring Ltd.,Does not qualify,631105,,Does not qualify,Does not qualify,,
,Paschim Petrochem Ltd,Does not qualify,750338,,Does not qualify,Does not qualify,Does not qualify,
,Pushpsons Industries Ltd.,Does not qualify,125525,,Does not qualify,Does not qualify,,
,Pal-Peugeot Ltd.,Does not qualify,896027,,Does not qualify,Does not qualify,,
,Matra Realty Ltd,Flat,682530,,Does not qualify,Does not qualify,Does not qualify,
strongsellbg_arrow,Panasonic Carbon India Company Ltd.,Negative,547339,420.00,Average,Bearish,Expensive,23
,Mafatlal Dyes & Chemicals Ltd,Does not qualify,529857,,Does not qualify,Does not qualify,Does not qualify,
,Pranavaditya Spinning Mills Ltd,Flat,681824,24.40,Does not qualify,Mildly Bullish,Does not qualify,
,Modi Industries Ltd,Does not qualify,221096,,Does not qualify,Does not qualify,Does not qualify,
,Mehta Rubber Chemicals Ltd.,Does not qualify,913501,,Does not qualify,Does not qualify,,
,Madras Aluminium Co Ltd(Merged),Does not qualify,638077,,Does not qualify,Mildly Bullish,Does not qualify,
sellbg_arrow,P I Industries Ltd,Flat,927973,"2,831.00",Good,Mildly Bearish,Very Expensive,42
,Meghmani Organics Ltd,Positive,1003522,97.40,Does not qualify,Mildly Bearish,Attractive,
sellbg_arrow,Milkfood Ltd.,Flat,590188,388.90,Below Average,Mildly Bullish,Attractive,44
,Meenakshi Steel Industries Ltd,Very Positive,184905,0,Does not qualify,Does not qualify,Does not qualify,
sellbg_arrow,Mahanagar Gas Ltd.,Flat,1000400,764.90,Good,Bearish,Very Expensive,37
holdbg_arrow,Manaksia Steels Ltd.,Flat,939595,44.05,Average,Bullish,Expensive,60
,MRC EXIM Ltd.,Does not qualify,1002897,63.30,Below Average,Bullish,Does not qualify,
,Modern Cement Industries  Ltd.,Does not qualify,270696,,Does not qualify,Does not qualify,,
,Mini Diamonds (India) Ltd.,Very Positive,637639,24.50,Does not qualify,Mildly Bullish,Does not qualify,
,Montari Leather Ltd.,Does not qualify,192957,,Does not qualify,Does not qualify,,
,Momai Apparels Ltd,Does not qualify,263255,,Does not qualify,Does not qualify,Risky,
,Marvel Decor Ltd,Does not qualify,1002942,0,Below Average,Mildly Bullish,Does not qualify,
sellbg_arrow,Marine Electricals (India) Ltd,Positive,1003069,0,Average,Bearish,Expensive,37
,Maheshwari Proteins,Does not qualify,1002530,,Does not qualify,Does not qualify,,
,Maple Circuits Ltd.,Does not qualify,887988,,Does not qualify,Does not qualify,,
buybg_arrow,Manali Petrochemicals Ltd,Very Positive,713887,108.95,Average,Mildly Bullish,Attractive,70
,Microse India Ltd,Flat,887109,0,Does not qualify,Does not qualify,Does not qualify,
strongsellbg_arrow,Modern Dairies Ltd,Negative,670292,8.20,Below Average,Bearish,Does not qualify,4
,Madhur Capital & Finance Ltd,Flat,113356,,Does not qualify,Does not qualify,Does not qualify,
sellbg_arrow,MSP Steel & Power Ltd,Flat,254772,11.89,Below Average,Mildly Bullish,Attractive,44
,Max Alert Systems Ltd,Does not qualify,705242,4.58,Does not qualify,Mildly Bullish,Does not qualify,
strongbuybg_arrow,Manaksia Ltd,Very Positive,977821,76.80,Average,Bullish,Very Attractive,80
,Mafatlal Engineering Industries,Does not qualify,1001530,,Does not qualify,Does not qualify,,
,Mack Trading Co Ltd,Negative,341610,,Does not qualify,Does not qualify,Does not qualify,
holdbg_arrow,Meghmani Finechem Ltd,Very Positive,1003523,930.80,Average,Mildly Bullish,Very Expensive,62
holdbg_arrow,Minda Corporation Ltd,Positive,989109,199.80,Average,Bullish,Fair,68
,Maegaware Computers,Does not qualify,1001513,,Does not qualify,Does not qualify,,
,Mardia Samyoung Capillary Tubes Company Ltd,Flat,828832,,Does not qualify,Does not qualify,Does not qualify,
sellbg_arrow,Mahamaya Steel Industries Ltd,Very Positive,558565,72.05,Average,Bearish,Fair,46
strongsellbg_arrow,Multi Commodity Exchange of India Ltd,Negative,765677,"1,427.00",Good,Bearish,Very Expensive,28
,Mercury Metals Ltd,Flat,762330,,Does not qualify,Mildly Bullish,Does not qualify,
,Mitsugen Glazes,Does not qualify,1001280,,Does not qualify,Does not qualify,,
holdbg_arrow,Man Infraconstruction Ltd,Very Positive,857134,106.75,Average,Mildly Bullish,Very Expensive,62
sellbg_arrow,Mangalam Drugs and Organics Ltd,Negative,138636,114.85,Average,Bearish,Attractive,34
,Mastershare,Does not qualify,1002386,,Does not qualify,Does not qualify,,
,Mobile Telecommunications Ltd,Positive,290044,,Does not qualify,Does not qualify,Does not qualify,
,Munoth Communication Ltd,Flat,651889,3.86,Does not qualify,Mildly Bullish,Does not qualify,
,Mercard,Does not qualify,1001880,,Does not qualify,Does not qualify,,
,Modi Cement,Does not qualify,1001508,,Does not qualify,Does not qualify,,
,Marson's Textiles,Does not qualify,1002581,,Does not qualify,Does not qualify,,
,Madhyavart Exxoil,Does not qualify,1001522,,Does not qualify,Does not qualify,,
,Meenakshi Enterprises Ltd,Positive,402484,15.95,Does not qualify,Mildly Bullish,Does not qualify,
,Madhav Copper Ltd,Very Negative,1002711,0,Does not qualify,Mildly Bearish,Does not qualify,
,Metkore Alloys & Industries Ltd,Does not qualify,357217,0.66,Below Average,Does not qualify,Does not qualify,
,Mehta Integrated Finance Ltd,Flat,108383,7.15,Does not qualify,Mildly Bearish,Does not qualify,
,MAC Industries,Does not qualify,1001495,,Does not qualify,Does not qualify,,
,Mandu Industries,Does not qualify,1001550,,Does not qualify,Does not qualify,,
sellbg_arrow,Marksans Pharma Ltd,Negative,604869,49.40,Average,Bearish,Very Attractive,31
,Pennar Paterson,Does not qualify,1001301,,Does not qualify,Does not qualify,,
,Plama Laboratories,Does not qualify,1002398,,Does not qualify,Does not qualify,,
,Multiplus Holdings Ltd,Positive,410438,32.80,Does not qualify,Does not qualify,Does not qualify,
,Prabhav Industries Ltd,Flat,339386,,Below Average,Does not qualify,Does not qualify,
strongsellbg_arrow,Paos Industries Ltd,Flat,148576,7.30,Below Average,Mildly Bearish,Does not qualify,20
,Point Plast Ltd,Does not qualify,1002111,,Does not qualify,Does not qualify,Does not qualify,
sellbg_arrow,Pazel International Ltd,Flat,354639,,Below Average,Mildly Bullish,Does not qualify,38
,Poona Dal & Oil Industries  Ltd.,Flat,477505,58.20,Does not qualify,Bullish,Does not qualify,
,Prism Medico & Pharmacy Ltd,Flat,701766,8.87,Does not qualify,Mildly Bullish,Does not qualify,
,Pervasive Commodities Ltd,Flat,699851,9.60,Does not qualify,Does not qualify,Does not qualify,
,Pioneer Cashew Industries,Does not qualify,1001129,,Does not qualify,Does not qualify,,
,Powergrid Infrastructure Investment Trust,Does not qualify,1003494,126.06,Average,Mildly Bullish,Very Expensive,
,Parshva Enterprises Ltd,Does not qualify,1003148,110.00,Below Average,Does not qualify,Risky,
,Premium Capital Market & Investments Ltd,Flat,696988,,Does not qualify,Mildly Bearish,Does not qualify,
,Paramount Cosmetics (India) Ltd,Positive,908196,45.65,Does not qualify,Bullish,Does not qualify,
,Pettavaittalai Sugar & Chemicals,Does not qualify,1002482,,Does not qualify,Does not qualify,,
,P. B. Films Ltd,Flat,999978,,Below Average,Does not qualify,Does not qualify,
,Proline Software & Finance Ltd,Does not qualify,903108,,Does not qualify,Does not qualify,Does not qualify,
,Protchem Industries (India) Ltd,Does not qualify,248793,,Does not qualify,Does not qualify,Does not qualify,
,Pentafour Products Ltd.,Does not qualify,174293,,Does not qualify,Does not qualify,,
,Pradhin Ltd,Positive,448107,44.35,Does not qualify,Mildly Bullish,Does not qualify,
,Capco Industries Ltd,Does not qualify,999968,.00,Does not qualify,Does not qualify,Does not qualify,
,Clara Industries Ltd,Does not qualify,1003591,96.00,Does not qualify,Sideways,Does not qualify,
holdbg_arrow,Precision Camshafts Ltd,Very Positive,1000566,140.25,Average,Mildly Bullish,Very Expensive,62
,Crazy Infotech Ltd,Flat,564241,,Below Average,Does not qualify,Does not qualify,
